iModulon,Gene
PAL 10 Del,feaB
PAL 10 Del,tynA
PAL 10 Del,paaI
PAL 10 Del,paaJ
PAL 10 Del,paaK
PAL 10 Del,paaX
PAL 10 Del,paaY
PAL 10 Del,pdxI
PAL 10 Del,ydbD
PAL 10 Del,ynbC
PAL 10 Del,ynbD
PAL 10 Del,azoR
PAL 10 Del,hrpA
PAL 10 Del,ydcF
PAL 10 Del,aldA
PAL 10 Del,cybB
PAL 10 Del,ydcA
PAL 10 Del,mokB
PAL 10 Del,ydcI
PAL 10 Del,ydcJ
PAL 10 Del,opgD
PAL 10 Del,ydcH
PAL 10 Del,rimL
PAL 10 Del,ydcK
PAL 10 Del,tehA
PAL 10 Del,tehB
PAL 10 Del,ydcL
PAL 10 Del,insQ
PAL 10 Del,ydcO
PAL 10 Del,sutR
PAL 10 Del,rlhA
PAL 10 Del,yncJ
PAL 10 Del,hicB
PAL 10 Del,ydcR
PAL 10 Del,ydcS
PAL 10 Del,ydcT
PAL 10 Del,ydcU
PAL 10 Del,ydcV
PAL 10 Del,patD
PAL 10 Del,ortT
PAL 10 Del,ydcY
PAL 10 Del,ydcZ
PAL 10 Del,mnaT
PAL 10 Del,curA
PAL 10 Del,mcbR
PAL 10 Del,pqqU
PAL 10 Del,yncE
PAL 10 Del,ansP
PAL 10 Del,yncG
PAL 10 Del,pptA
PAL 10 Del,yddH
PAL 10 Del,nhoA
PAL 10 Del,yddE
PAL 10 Del,yddG
PAL 10 Del,fdnI
PAL 10 Del,yddM
PAL 10 Del,adhP
PAL 10 Del,maeA
PAL 10 Del,sra
PAL 10 Del,osmC
PAL 10 Del,ddpF
PAL 10 Del,ddpD
PAL 10 Del,ddpC
PAL 10 Del,ddpB
PAL 10 Del,ddpA
PAL 10 Del,ddpX
PAL 10 Del,dosP
PAL 10 Del,dosC
PAL 10 Del,digH
PAL 10 Del,pqqL
PAL 10 Del,yddB
PAL 10 Del,yddA
PAL 10 Del,ydeN
PAL 10 Del,yqhD
PAL 10 Del,rbsB
PAL 10 Del,rbsK
PAL 10 Del,deoC
PAL 10 Del,deoA
PAL 10 Del,hokB
PAL 10 Del,ydbA
PAL 10 Del,gapC
PAL 10 Del,ydbJ
PAL 10 Del,hicA
PAL 10 Del,lomR
PAL 10 Del,ynaL
Biofilm,ycgZ
Biofilm,ymgA
Biofilm,ariR
Biofilm,ymgC
Biofilm,pdeG
Cytochrome c,nrfA
Cytochrome c,nrfB
Cytochrome c,nrfC
Cytochrome c,nrfD
Cytochrome c,nrfE
Cytochrome c,nrfG
BasR,dmlA
BasR,yodB
BasR,ugd
BasR,ais
BasR,arnB
BasR,arnC
BasR,arnA
BasR,arnD
BasR,arnT
BasR,yrbL
BasR,waaH
BasR,basS
BasR,basR
BasR,eptA
BasR,arnE
Sulfoquinovose,ompL
Sulfoquinovose,yihO
Sulfoquinovose,yihP
Sulfoquinovose,yihQ
Sulfoquinovose,yihR
Sulfoquinovose,yihS
Sulfoquinovose,yihT
Sulfoquinovose,yihU
Sulfoquinovose,yihV
Sulfoquinovose,csqR
RpoS,ldcC
RpoS,yahK
RpoS,yahO
RpoS,psiF
RpoS,ybaY
RpoS,ybaA
RpoS,ybdK
RpoS,ybeL
RpoS,ybgA
RpoS,ybgS
RpoS,ybhN
RpoS,clsB
RpoS,ybhP
RpoS,mcbA
RpoS,ybiO
RpoS,dps
RpoS,yliI
RpoS,ybjP
RpoS,poxB
RpoS,ycaC
RpoS,ycaP
RpoS,yccJ
RpoS,wrbA
RpoS,msyB
RpoS,ycgB
RpoS,ymgE
RpoS,treA
RpoS,chaB
RpoS,yciF
RpoS,yciG
RpoS,dgcM
RpoS,ydcK
RpoS,ydcS
RpoS,ydcT
RpoS,curA
RpoS,mcbR
RpoS,yncG
RpoS,adhP
RpoS,sra
RpoS,osmC
RpoS,lsrR
RpoS,tam
RpoS,ydeI
RpoS,sodC
RpoS,ydhS
RpoS,ldtE
RpoS,ydiZ
RpoS,yniA
RpoS,katE
RpoS,osmE
RpoS,yeaG
RpoS,yeaH
RpoS,yeaQ
RpoS,yebV
RpoS,yebF
RpoS,otsA
RpoS,otsB
RpoS,amyA
RpoS,yodD
RpoS,yedP
RpoS,hchA
RpoS,yegP
RpoS,yegS
